operation,dimensions,seed,number,repeat,mean_seconds,min_seconds,max_seconds
matrix_matrix_product,10x10 * 10x10,1375731,5,5,7.967999998072628e-05,7.179999993240926e-05,0.00010003999996115454
matrix_vector_product,10x10 * 10,1375731,5,5,8.156000112649054e-06,7.6600001193583e-06,9.53999988269061e-06
matrix_trace,10x10,1375731,5,5,1.4199999714037403e-06,1.2399999832268803e-06,1.980000160983764e-06
write_matrix,10x10,1375731,5,5,0.0008632400000351481,0.0007838999998057261,0.0009105200002522907
read_matrix,10x10,1375731,5,5,7.879999990109354e-05,4.805999997188337e-05,0.0001903599997604033
matrix_matrix_product,50x50 * 50x50,1375731,5,5,0.005230015999986791,0.005106419999719947,0.0053177400001004575
matrix_vector_product,50x50 * 50,1375731,5,5,9.892000009131152e-05,9.69600001553772e-05,0.00010084000023198314
matrix_trace,50x50,1375731,5,5,3.843999948003329e-06,3.6599998566089197e-06,4.519999856711366e-06
write_matrix,50x50,1375731,5,5,0.004063716000018758,0.003921460000128718,0.004165199999988545
read_matrix,50x50,1375731,5,5,0.0010272480000276117,0.0006067199999961303,0.002463200000056531
matrix_matrix_product,100x100 * 100x100,1375731,5,5,0.03827722000001813,0.03802561999982572,0.038584180000179914
matrix_vector_product,100x100 * 100,1375731,5,5,0.00035156400001142176,0.0003419199998461409,0.00037137999970582314
matrix_trace,100x100,1375731,5,5,8.960000050137751e-06,6.27999979769811e-06,1.808000015444122e-05
write_matrix,100x100,1375731,5,5,0.01456722399998398,0.014177180000115187,0.015450359999886133
read_matrix,100x100,1375731,5,5,0.0027167040000495033,0.0023538600002211752,0.003913339999780874
scalar_product,N=100,1375731,5,5,3.844000020762905e-06,3.5400000342633577e-06,4.780000017490238e-06
histogram,N=100; bins=5,1375731,5,5,1.1808000053861178e-05,1.1240000094403513e-05,1.3519999993150122e-05
histogram,N=100; bins=10,1375731,5,5,1.1544000008143485e-05,1.1340000128257088e-05,1.2040000001434237e-05
histogram,N=100; bins=20,1375731,5,5,1.309600003878586e-05,1.1760000052163378e-05,1.7500000103609638e-05
filter_vector,N=100; kernel=3,1375731,5,5,5.0827999875764365e-05,4.0879999869503084e-05,8.438000004389324e-05
write_vector,N=100,1375731,5,5,0.0008281799999531359,0.0007437199998094002,0.0010470000001078007
read_vector,N=100,1375731,5,5,0.00010305999996489846,4.702000005636364e-05,0.00030915999996068423
scalar_product,N=1000,1375731,5,5,3.9443999994546176e-05,3.168000002915505e-05,4.533999999694061e-05
histogram,N=1000; bins=5,1375731,5,5,0.00010650799988070504,0.00010285999996995088,0.00011397999987821095
histogram,N=1000; bins=10,1375731,5,5,0.00010227599988866131,0.00010115999975823797,0.00010413999989395961
histogram,N=1000; bins=20,1375731,5,5,0.0001040639999700943,0.00010220000003755559,0.00010905999988608528
filter_vector,N=1000; kernel=3,1375731,5,5,0.00046387599992158356,0.00043875999981537463,0.0004918400001770352
write_vector,N=1000,1375731,5,5,0.0020052159999613653,0.0019339799997396766,0.0020905800000036836
read_vector,N=1000,1375731,5,5,0.00044759199998225087,0.0002326599998923484,0.0012955400001374074
scalar_product,N=10000,1375731,5,5,0.00033281599993642883,0.00031735999982629437,0.00037427999995998107
histogram,N=10000; bins=5,1375731,5,5,0.001060012000016286,0.0010374199999205302,0.0010985199998685858
histogram,N=10000; bins=10,1375731,5,5,0.00104754399995727,0.0010363199999119388,0.0010535400000662777
histogram,N=10000; bins=20,1375731,5,5,0.0010312200000771553,0.001014920000307029,0.0010472800000570714
filter_vector,N=10000; kernel=3,1375731,5,5,0.004443668000021717,0.004328399999940303,0.0046000800000911115
write_vector,N=10000,1375731,5,5,0.013586603999938234,0.013367419999849518,0.013991499999974621
read_vector,N=10000,1375731,5,5,0.0025012879999121653,0.002221099999951548,0.003455979999853298
